,latitude,longitude
0,55.778205,37.529193
1,55.764857,37.414581
2,55.76016,37.40398
3,55.643565,37.718811
4,55.643595,37.720471
5,55.824914,37.575127
6,56.006571,38.384547
7,55.853673,37.659317
8,55.631642,37.796816
9,55.707783,37.823727
10,55.70434,37.790171
11,55.700922,37.744652
12,55.646757,37.399531
13,55.918852,38.009589
14,55.910197,38.076636
15,55.883973,38.07753
16,55.919719,37.982946
17,55.903896,38.053505
18,55.762409,37.413645
19,55.762331,37.411908
20,55.813977,37.645068
21,55.549146,37.529732
22,55.789788,37.621628
23,55.616983,38.298479
24,55.616982,38.29879
25,55.818124,37.662853
26,55.872199,37.67085
27,55.870899,37.669627
28,55.87321,37.691272
29,55.852091,37.654428
30,55.774409,37.485739
31,55.778847,37.482149
32,55.772857,37.482205
33,55.770826,37.478789
34,55.770531,37.484148
35,55.772841,37.482235
36,55.769703,37.471507
37,55.53854,37.539824
38,55.535779,37.518737
39,55.537189,37.509836
40,55.8052,37.640751
41,55.818741,37.660068
42,55.74536,37.428862
43,55.539274,37.530385
44,55.774447,37.5907
45,55.779728,37.587927
46,55.676178,37.695383
47,55.67738,37.699957
48,55.680973,37.706127
49,55.769346,37.600474
50,55.769293,37.600573
51,55.924526,37.848579
52,55.630178,37.796725
53,55.757167,37.701596
54,55.923301,37.981041
55,55.870621,37.648031
56,55.877612,37.671668
57,55.863188,37.679755
58,55.866845,37.677156
59,55.801942,37.980065
60,55.866486,37.670999
61,55.735614,37.491467
62,55.830909,37.975736
63,55.830593,37.97464
64,55.624623,37.719934
65,55.669396,37.534103
66,55.780339,37.457294
67,55.772926,37.582029
68,55.684561,37.920792
69,55.76199,37.597434
70,55.872451,37.680692
71,55.635346,37.743302
72,55.634543,37.74317
73,55.63201,37.652128
74,55.805805,37.500438
75,55.855469,37.502225
76,55.600821,36.68935
77,55.647218,37.748882
78,55.747569,37.652634
79,55.589416,37.895657
80,55.591247,37.670447
81,55.593556,37.666065
82,56.022012,37.423371
83,55.918796,38.009135
84,55.901776,38.066921
85,55.723357,37.67116
86,55.387406,36.750034
87,55.750331,37.980117
88,55.629914,37.594546
89,55.902446,38.140291
90,55.713173,37.789035
91,55.713465,37.788272
92,55.824648,37.624707
93,55.66586,37.654162
94,55.378193,37.537015
95,55.544706,37.519581
96,55.540125,37.508007
97,55.544898,37.521058
98,55.539895,37.506555
99,55.719584,37.575212
100,55.715726,37.91095
101,56.016787,37.217702
102,55.875602,37.579948
103,55.421893,37.577693
104,55.715944,37.737861
105,55.716796,37.740089
106,55.37871,36.726533
107,55.764823,37.491067
108,55.765421,37.667519
109,55.553047,37.711605
110,55.552372,37.713555
111,55.544721,37.714482
112,55.543935,37.712312
113,55.627089,37.723461
114,55.748604,37.605029
115,55.619316,37.739628
116,55.868457,37.660607
117,55.37237,37.537252
118,55.671983,37.657381
119,55.833316,37.252781
120,55.884378,37.419442
121,55.882425,37.422185
122,55.883715,37.419855
123,55.472251,37.294297
124,55.704917,37.578322
125,55.713647,37.753263
126,55.714813,37.752299
127,55.637732,37.344404
128,55.801324,37.124367
129,55.808605,37.711847
