English transcription;latitude;longitude;metro_line_1;metro_line_2;metro_line_3;metro_line_4;metro_line_5;metro_line_6;metro_line_7;metro_line_8;metro_line_9;metro_line_10;metro_line_11;metro_line_12;metro_line_13;metro_line_14;metro_line_15
Ploshchad Revolyutsii;55.7566;37.6216;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0
Kurskaya;55.7576;37.6577;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0
Baumanskaya;55.773;37.6806;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Elektrozavodskaya;55.7817;37.7037;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1
Semyonovskaya;55.7833;37.7208;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Partizanskaya;55.7886;37.7506;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0
Izmaylovskaya;55.7878;37.7814;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Pervomayskaya;55.7948;37.7993;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Shchyolkovskaya;55.8094;37.7986;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Kuntsevskaya;55.7307;37.4459;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
Pionerskaya;55.736;37.4671;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Filyovsky Park;55.7396;37.4833;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Bagrationovskaya;55.7438;37.4977;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Fili;55.746;37.515;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Kutuzovskaya;55.7399;37.5344;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0
Studencheskaya;55.7388;37.5483;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Mezhdunarodnaya;55.7483;37.5339;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0
Vystavochnaya;55.7502;37.5408;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0
Kiyevskaya;55.7436;37.5655;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0
Smolenskaya;55.7488;37.5825;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
Arbatskaya;55.7518;37.6007;1;0;1;1;0;0;0;0;1;0;0;0;0;0;0
Aleksandrovsky Sad;55.7525;37.6085;1;0;1;1;0;0;0;0;1;0;0;0;0;0;0
Kiyevskaya;55.7446;37.5644;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0
Krasnopresnenskaya;55.7613;37.5774;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0
Belorusskaya;55.7764;37.5844;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0
Novoslobodskaya;55.7799;37.6028;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0
Prospekt Mira;55.7798;37.6318;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0
Komsomolskaya;55.7748;37.6549;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Kurskaya;55.757;37.6595;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0
