,latitude,longitude
0,55.771265,37.46772
1,55.773957,37.596818
2,55.758237,37.705975
3,55.921804,37.987502
4,55.967164,37.517883
5,55.798081,37.967431
6,55.630952,37.649683
7,55.780237,37.552083
8,55.683253,37.768575
9,55.874487,37.726947
10,55.844134,37.508779
11,55.369134,37.539038
12,56.027416,37.843255
13,55.755794,37.86008
14,55.564155,37.87008
15,55.697627,37.6045
16,55.714159,36.892367
17,55.502719,37.898305
18,55.659055,37.64559
19,55.66305,37.640944
20,55.66212,37.635704
21,55.554691,37.730562
22,55.858311,37.124236
23,55.768799,37.665723
24,55.901974,38.070459
25,55.90154,38.064983
26,55.66943,37.655958
27,55.670281,37.65633
28,55.884237,37.379699
29,55.875212,37.320956
30,55.576278,37.899869
31,55.791925,37.737204
32,55.871635,37.525458
33,55.871334,37.520762
34,55.869496,37.51926
35,55.775322,37.648628
36,55.816254,37.457101
37,55.653549,37.494161
38,55.723991,37.601575
39,55.792324,37.70017
40,55.505252,37.571168
41,55.882086,37.413688
42,55.742822,37.484296
43,55.690597,37.569632
44,55.831489,37.283021
45,55.904993,37.337482
46,55.625188,37.524276
47,56.015162,37.45875
48,56.014423,37.459037
49,55.701552,37.597613
50,55.76557,37.586649
51,55.865856,37.665378
52,55.836617,37.308366
53,55.746837,37.649645
54,55.746573,37.652002
55,55.806955,37.66596
56,55.750929,37.392925
57,55.695602,37.59989
58,55.779778,37.555698
59,55.698843,37.516167
60,55.807889,37.478487
61,55.72173,37.566204
62,55.756247,37.811916
63,55.831978,37.680547
64,55.736729,37.67047
65,55.960462,37.736153
66,55.734838,37.590614
67,55.755897,37.541999
68,55.641709,37.413781
69,55.64049,37.415385
70,55.729565,37.589989
71,55.738248,37.617566
72,55.786794,37.627423
73,55.626258,37.53973
74,55.614359,37.527843
75,55.582165,37.584396
76,55.568443,37.559259
77,55.843746,37.648744
78,55.842769,37.647614
79,55.607519,37.67531
80,55.798032,37.80799
81,55.798467,37.810878
82,55.740699,37.587559
83,55.773998,37.465227
84,55.733806,37.582138
85,55.733701,37.57643
86,55.686028,37.872785
87,56.345831,37.533219
88,55.80728,37.291804
89,55.814009,37.480175
90,55.871079,37.545809
91,55.773145,37.147312
92,55.745905,37.189624
93,55.83844,37.180173
94,55.837463,37.307812
95,55.877697,37.554965
96,55.723521,37.566955
97,55.762618,37.738121
98,55.868781,37.522626
99,55.890303,37.533421
100,55.769717,37.426643
101,55.805985,37.33041
102,55.618455,37.30977
103,55.752493,37.658302
104,55.888809,37.097973
105,55.766938,37.59877
106,55.824537,37.460314
107,55.820021,37.456902
108,55.79851,37.579435
109,55.799447,37.701676
110,55.800202,37.699951
111,55.907505,37.57111
112,55.818935,37.46581
113,55.815876,37.537038
114,55.800385,37.554231
115,55.820178,37.530813
116,55.757613,37.379453
117,55.760945,37.376814
118,55.818392,37.461301
119,55.758723,37.648911
120,55.77272,37.246177
121,55.809066,37.472793
122,55.734195,37.572036
123,55.788651,37.364599
124,55.852697,37.404988
125,55.788198,37.687876
126,55.828387,37.531734
127,55.759376,37.567119
128,55.872955,37.533628
129,55.75787,37.654781
130,55.752896,37.654402
131,55.921136,37.988985
132,55.391917,36.717682
133,55.756507,37.638099
134,55.99813,37.912947
135,55.75329,37.608925
136,55.617967,37.65493
137,55.974097,37.872011
138,55.792495,37.68572
139,55.765693,37.652131
140,55.771139,37.740434
141,55.65107,37.651464
142,55.650826,37.646434
143,55.649686,37.65346
144,55.806011,37.479833
145,55.713937,37.630242
146,55.71134,37.647322
147,55.607348,37.732496
148,55.7093,37.775992
149,55.99008,37.147428
150,55.796817,37.692252
151,55.80105,37.64521
152,55.799583,37.568922
153,55.799025,37.656213
154,55.82623,37.657021
155,55.801498,37.557155
156,55.799344,37.67402
157,55.685713,37.262674
158,55.811503,37.556468
159,55.810781,37.528809
160,55.784024,37.611211
161,55.745458,37.404397
162,55.786797,37.577808
163,55.712993,37.80079
164,55.836235,37.749817
165,55.766738,37.433867
166,55.65053,37.491847
167,55.418667,38.257694
168,55.719436,37.665942
169,55.730308,37.832086
170,55.865576,37.66342
171,55.758358,38.085696
172,55.756428,38.090661
173,55.631231,37.50527
174,55.80919,37.480766
175,55.717717,37.438345
176,55.64438,38.002545
177,55.756935,37.808467
178,55.762753,37.794999
179,55.730688,37.831278
180,55.902005,37.464696
181,55.731598,37.662843
182,55.693579,37.752746
183,55.92071,37.806532
184,55.918723,37.825684
185,55.757793,37.540978
186,55.815581,37.953887
187,55.919078,37.82628
188,55.917783,37.858761
189,55.835371,37.307856
190,55.666433,37.547368
191,56.034803,37.231233
192,55.597622,38.131172
193,55.744441,37.404701
194,55.973863,37.198363
195,55.940862,37.502793
196,55.94119,37.517069
197,55.942536,37.513923
198,55.842238,37.646547
199,55.6778,37.725557
200,55.97841,37.904125
201,55.734244,37.58259
202,56.011435,38.380315
203,56.013961,38.380513
204,55.692632,37.752539
205,55.693383,37.749785
206,55.429049,37.527302
207,55.71476,37.527415
208,55.72267,37.432687
209,55.793891,37.601409
210,55.746269,37.403154
211,55.774724,37.635777
212,55.803036,37.484794
213,55.725532,37.618777
214,55.683884,37.759117
215,55.680073,37.464007
216,55.804125,37.479728
217,55.760808,37.639442
218,55.652679,37.533685
219,55.817954,37.858646
220,55.791742,37.689957
221,55.865744,37.431333
222,55.784265,37.605532
223,55.690051,37.811847
224,55.473084,37.291182
225,55.762422,37.776186
226,55.661591,37.926349
227,55.614913,37.527158
228,55.830114,37.724903
229,55.828451,37.723597
230,55.762035,37.799308
231,55.773588,37.678892
232,55.887775,37.704368
233,55.888051,37.707851
234,55.430088,37.533012
235,55.181793,37.706647
236,55.922458,37.777543
237,55.775358,37.60407
238,55.879972,37.463046
239,55.687496,37.557764
240,55.806866,37.73056
241,55.680911,37.254515
242,55.582541,37.522872
243,55.801678,37.779712
244,55.789779,37.484681
245,55.725233,37.628777
246,55.665949,37.904589
247,55.748983,37.980026
248,55.915779,38.005297
249,55.916282,38.007381
250,55.916324,38.009184
251,55.557786,37.347567
252,55.840169,37.457959
253,55.839489,37.458783
254,55.985559,37.101885
255,55.736774,36.855924
256,55.804744,37.711741
257,55.594683,37.364796
258,55.788044,37.695064
259,55.805149,37.456471
260,55.8321,37.668644
261,55.727336,37.956746
262,55.61215,36.599585
263,55.910175,38.023045
264,55.95738,38.055367
265,55.826719,37.771103
266,55.413569,37.842693
267,55.79017,37.821852
268,55.686078,37.551713
269,55.97348,37.113596
270,55.709214,37.523189
271,55.553453,37.731425
272,55.718612,37.480081
273,55.376794,37.38697
274,55.574749,38.216063
275,55.659675,37.994218
276,55.389349,36.718248
277,56.341572,37.526516
278,55.928915,37.917669
279,55.876173,37.7299
280,55.799109,37.457761
281,56.004059,38.192973
282,55.884947,37.704821
283,56.019533,37.836456
284,55.673521,37.65476
285,55.978324,37.74777
286,55.438808,37.744838
287,55.247532,37.629735
288,55.641505,37.669248
289,55.642286,37.666815
290,55.873604,38.19927
291,55.367933,37.517536
292,55.367095,37.515628
293,55.81378,37.465747
294,56.006116,37.798962
295,55.886515,37.378038
296,55.94301,37.300722
297,55.793646,38.433595
298,56.005029,37.828873
299,55.803337,38.468824
300,55.765908,38.213235
301,55.919218,37.365768
302,55.390435,36.716135
303,55.629939,37.868338
304,55.432076,37.765301
305,55.971109,37.832858
306,55.807816,37.482294
307,55.76548,38.491409
308,56.307305,38.111163
309,55.798791,38.470178
310,55.721404,38.040263
311,56.062776,38.254163
312,55.913041,37.62237
313,55.617205,38.092653
314,55.748017,38.116775
315,55.81152,38.189445
316,55.7803,38.453527
317,55.922272,37.776298
318,56.083364,37.495305
319,55.768043,38.210451
320,55.983812,38.124737
321,55.669394,37.501183
322,55.557651,37.732078
323,55.85114,38.435801
324,55.94605,37.895943
325,55.608571,37.296494
326,55.605607,36.698842
327,55.879985,38.451004
328,55.612951,37.002817
329,55.667381,37.165409
330,55.933305,36.701243
331,55.716881,37.606434
332,55.610091,37.670735
333,56.112813,38.417805
334,55.694928,37.936899
335,55.695626,37.938884
336,55.661725,37.364534
337,56.009909,37.840134
338,55.844247,37.642734
339,55.815161,37.697067
340,55.723256,37.667843
341,55.655067,37.154791
342,55.842864,38.208729
343,55.917134,38.115644
344,55.956413,38.026747
345,55.958229,38.054927
346,56.280466,37.507921
347,55.992752,37.172046
348,55.740668,37.956619
349,56.020818,36.986957
350,55.983851,37.835301
351,55.502838,37.326772
352,55.636708,37.270998
353,55.924672,38.231502
354,55.836131,37.327133
355,55.644699,37.499401
356,56.307749,38.111217
357,55.735916,36.848835
358,55.969637,37.156306
359,55.577055,38.216475
360,55.820715,37.691044
361,55.417497,37.40355
362,55.701565,37.679215
363,55.768033,37.701874
364,55.778154,37.625717
365,55.926699,38.150549
366,55.944907,38.198869
367,55.804093,37.783373
368,55.684321,37.270464
369,55.727545,37.163023
370,56.181291,37.007028
371,55.8296,37.528218
372,55.946678,37.486335
373,55.681983,37.148684
